entry_date,exit_date,return
2024-09-05,2024-09-09,-0.04394868658916573
2024-09-10,2024-10-30,0.2779701832173893
2024-11-07,2024-11-15,-0.03797894819908132
2024-12-17,2024-12-27,-0.0664200844894286
2025-01-21,2025-01-23,0.0227009702999017
2025-01-24,2025-01-28,-0.10187718473018315
2025-02-03,2025-02-04,0.028248396387624775
2025-05-05,2025-07-11,0.4361575816503953
2025-07-18,2025-08-21,-0.009855416648224202
2025-09-30,2025-10-06,0.04663033175832476
2025-10-14,2025-10-15,0.04213299874084764
2025-10-16,2025-10-20,0.006868468770072855
2025-10-21,2025-11-14,-0.07525262558467383
2026-01-14,2026-01-22,-0.006205884782635507
2026-01-26,2026-02-05,-0.11339608973922444
2026-02-11,2026-02-17,-0.08935423464079273
2026-04-07,2026-06-05,0.8735793151445193
2026-06-18,2026-06-24,-0.09085783518260149
2026-07-08,2026-07-09,0.05509102835786828
2026-08-05,2026-08-13,-0.009521620959819566
2026-08-14,2026-08-18,-0.05616311111776695
2026-08-20,2026-09-01,-0.02679661279904899
